datetime,Close,Open,High,Low,Volume,Change
2026/2/13,21.98,22.5,22.89,21.93,280.19M,-5.09%
2026/2/12,23.16,23.2,23.64,23.03,219.34M,-0.22%
2026/2/11,23.21,22.5,23.55,22.48,247.40M,2.93%
2026/2/10,22.55,22.49,23,22.33,169.33M,0.58%
2026/2/9,22.42,22.46,22.5,22,189.99M,1.96%
2026/2/6,21.99,21,22.37,20.86,278.52M,-0.81%
2026/2/5,22.17,23.04,23.38,21.62,330.63M,-6.34%
2026/2/4,23.67,24.05,24.05,23.27,246.99M,2.33%
2026/2/3,23.13,22.78,23.33,22.15,407.56M,4.71%
2026/2/2,22.09,21.9,23.7,21.9,535.62M,-9.21%
2026/1/30,24.33,25.7,25.98,24.33,497.70M,-9.99%
2026/1/29,27.03,27.57,28.78,25.4,650.04M,0.56%
2026/1/28,26.88,24.88,26.89,24.37,499.43M,9.80%
2026/1/27,24.48,24.42,25.8,23.8,454.56M,-0.73%
2026/1/26,24.66,23.66,24.94,23.5,473.16M,8.35%
2026/1/23,22.76,22.99,23.04,22.51,250.44M,0.26%
2026/1/22,22.7,23.18,23.18,22.53,219.22M,-2.28%
2026/1/21,23.23,22.88,23.27,22.55,220.75M,0.69%
2026/1/20,23.07,23.33,23.6,22.28,310.07M,-1.03%
2026/1/19,23.31,24.27,24.37,22.86,327.02M,-3.88%
2026/1/16,24.25,24.17,25.09,24.15,330.42M,0.83%
2026/1/15,24.05,23.3,24.55,23.2,305.59M,3.22%
2026/1/14,23.3,22.85,23.94,22.85,281.46M,2.19%
2026/1/13,22.8,22.63,23.26,22.36,239.92M,0.48%
2026/1/12,22.69,23.2,23.33,22.3,299.67M,-0.40%
2026/1/9,22.78,21.45,22.89,21.35,258.31M,5.07%
2026/1/8,21.68,21.55,22.4,21.29,215.98M,-1.32%
2026/1/7,21.97,21.9,22.46,21.5,269.37M,1.34%
2026/1/6,21.68,20.79,22.03,20.7,272.23M,6.07%
2026/1/5,20.44,20.2,20.55,19.87,223.05M,2.20%
2025/12/31,20,19.51,20.47,19.38,250.38M,2.46%
2025/12/30,19.52,18.27,19.55,18.21,232.21M,3.39%
2025/12/29,18.88,20.06,20.16,18.78,339.26M,-4.41%
